,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)]
0,6.5,5.0,0.7075206627594455,0.6771657974537538,0.6381341858489651,0.5908309365117655,0.535837585344172,0.47390578276234435,0.40594794284438834,0.3078123063283569,0.23012865369542715,0.1504059095677907,0.07003634949621813,-0.009545944055605904,-0.08689583279046496,-0.16058830967542342,-0.25079306565990284,-0.32904792332631433,-0.3927136819273922,-0.43962966497559997,-0.4628387633910531,-0.4769591129130065,-0.4746554374120307,-0.4613111497468276,-0.437155229078559,-0.3888847492399031,-0.32365376489206865,-0.26477671169787725,-0.1748805377121908,-0.07438123416110415,0.3179399811696095,0.27751371413881154,0.2464529015127223,0.22425249062139085,0.20977998700483377,0.2013935518278143,0.1972767617833896,0.1956691758093115,0.1958782828763731,0.196527610639091,0.19728520029707522,0.19803597116211225,0.1987830653943174,0.19957046562210634,0.20073345580095703,0.20198115208871878,0.2031309926699927,0.2039277612282945,0.2041732658252497,0.2040556347992506,0.20388008301014887,0.2041268837929568,0.20559241923315588,0.2115266497624779,0.2254336827360475,0.2434843967125154,0.2802530008015367,0.33305791723492495
1,6.5,10.0,0.5299156801983135,0.41873648371681227,0.30627452029053753,0.1934771345347026,0.08130850393857442,-0.029260664381374733,-0.13726348795449034,-0.27563308866125424,-0.37399023876088494,-0.46672366290957645,-0.5530059649614859,-0.6320692441543874,-0.7032147573602613,-0.7658215837817661,-0.835104257619007,-0.8872622153230104,-0.9216122130132999,-0.9378123721421348,-0.9380453348415548,-0.9227267546925058,-0.8998624832588824,-0.8676757858775851,-0.8266636089175957,-0.7592907041555664,-0.6789386820716717,-0.611281657790159,-0.5128590558388273,-0.40705060661659603,0.3185678152516832,0.27850970024399,0.24818409710335035,0.226979054849157,0.21358747146958082,0.20617923814253838,0.202795866730177,0.20167237678879266,0.2018678168505088,0.2022193114305312,0.2024543904346079,0.2025345985634913,0.20255168960467437,0.2026412715165653,0.20306534521717412,0.20391179032386722,0.20502739197096895,0.20607795636818502,0.20661030869047278,0.20686219247397253,0.20687510384242017,0.20720367008035914,0.2086675114523953,0.21461591822899603,0.2288482979306866,0.24753124046085304,0.2857431283988201,0.34051933085968034
2,6.5,20.0,0.5391194100919023,0.3070028589043274,0.08861922446321453,-0.11414588860730436,-0.299768316816285,-0.4671161003006251,-0.6154704414059645,-0.783280522769916,-0.886894169554079,-0.9721456691562628,-1.0400779021914424,-1.0920723476392469,-1.1298038695988224,-1.1551875486258187,-1.1734676763481804,-1.1788093007853298,-1.176591199411059,-1.1720343878478081,-1.170001251223024,-1.1725770114792637,-1.1804542505626001,-1.1947889688736364,-1.2164774261255145,-1.2577899951731295,-1.3136627441318476,-1.3648701508427887,-1.4445383909677805,-1.5353927053110785,0.3322893552718816,0.2888122568562926,0.25582204503447314,0.23294502722865584,0.2188583284963164,0.21143396152406457,0.2082676351550717,0.2071078166566671,0.2067291378911173,0.20598372539230775,0.20470618011690456,0.2030687912845853,0.20142889677408218,0.20018787549485428,0.1996929071744982,0.20076067921600177,0.20306641753499755,0.20584234865421525,0.20772048104142332,0.20951902487024077,0.2103906028458648,0.21131282587170286,0.21317597095946372,0.21956783385789727,0.2344302621033934,0.25382879750220216,0.2933146954942688,0.34960225067494627
3,6.0,5.0,0.37023948296184184,0.31225717325694474,0.25245012735776406,0.1915667675959451,0.1303872794790862,0.06970839770474532,0.010328185762222851,-0.06547543955589258,-0.11883413904771845,-0.1684287622921234,-0.21363707482328462,-0.25391520853211585,-0.2888088845186396,-0.3179626399720531,-0.34748885130715085,-0.36608918722108474,-0.3738237571601148,-0.37109108677402736,-0.36259010239239353,-0.343421277073603,-0.3238065609180462,-0.3003216068682748,-0.27357385275416396,-0.23393922305544373,-0.1911863167802511,-0.15800094601974785,-0.11344645419210193,-0.06980218285855332,0.31731845403488257,0.2764338280140969,0.24526226669963874,0.22335381313501204,0.20955812550407374,0.202120472407285,0.1990510493363718,0.1986864676570696,0.1995283463123434,0.20044994190318952,0.20107752312371552,0.20130393205403443,0.20119110637632168,0.20088881733079744,0.20048866899971746,0.2003886757197222,0.20072900656244283,0.2014433037607541,0.20211762508055972,0.20311618503894882,0.20404850321491666,0.20548813213434322,0.20809640172509877,0.21528437980145407,0.23003979744599387,0.248534008960706,0.28590364882101443,0.339642725471348
4,6.0,10.0,0.3596542713074245,0.030531670492811774,-0.2816401436545367,-0.5738466535505296,-0.8434736219987446,-1.0883561188576405,-1.3068179775428006,-1.5550708378686977,-1.7082838159280636,-1.833263014737219,-1.9305917064230285,-2.0013351780923005,-2.04699983627883,-2.069483316033639,-2.0672943070905436,-2.0338766721599004,-1.9757620815892938,-1.8997192247597812,-1.8349663192820984,-1.7434907883239896,-1.6742870050957381,-1.6070879927792185,-1.5438641038284786,-1.468582037669649,-1.406337852326762,-1.3694483361553953,-1.3341865846129903,-1.3149827312435975,0.3310117999932347,0.2838048055554351,0.24770794605323868,0.22303183311110833,0.20886625512300683,0.20295787850585267,0.20233490934385337,0.20501612103519068,0.2072024790097646,0.20842444338649377,0.2083952412037043,0.20728650568682422,0.20555126370126134,0.2037603410141089,0.20219263715603922,0.20223984375743564,0.2038770778551057,0.2063613210033777,0.20814900912647635,0.2097528416117374,0.2102640122183424,0.21055505271075625,0.2115175051823169,0.2164746151211795,0.23010043888947335,0.2490305177874238,0.28868017280567265,0.3458075774037982
5,6.0,20.0,0.7442534106468154,0.47212650945808293,0.1945626280093289,-0.08649878933909601,-0.3691374456348858,-0.6514829261551495,-0.9317435879273553,-1.2992847513769232,-1.5683466433162414,-1.830231622476544,-2.0837447551732047,-2.327863151454239,-2.561739077026921,-2.7846981951743017,-3.06414052438815,-3.322512635004275,-3.5594681025625325,-3.7750162631341824,-3.9227897443994624,-4.101663563257148,-4.222500903474193,-4.332198424230477,-4.431001057941583,-4.546179668585628,-4.642847906229817,-4.703410569559856,-4.768423706655195,-4.8155511736183465,0.3224213425204422,0.2822448270148932,0.25150016825623556,0.22966770937554282,0.21559706212435317,0.2076067612426701,0.20380901635241416,0.20234065786076835,0.20230905148749417,0.20233814639746792,0.20207313916223496,0.20144451604792904,0.2005759875869297,0.1996996158055069,0.19896765959824234,0.19917472912255785,0.20049786055951427,0.20275010046395184,0.20479860391568944,0.20769436383164128,0.20995241147046964,0.2125358613948429,0.21604307249054597,0.22397581575957948,0.23889478650708412,0.2571061984663808,0.2935515774905763,0.34573760383471397
6,5.5,5.0,0.4666619765253601,0.08524617178998603,-0.2909988822456316,-0.658291459299063,-1.0129725310271478,-1.3515674222176106,-1.6708446353079813,-2.0614732707574355,-2.3248607885601813,-2.5605503631042015,-2.7668929357361822,-2.9426830100252124,-3.087169120241488,-3.2000551045483254,-3.301737028824691,-3.349094473955967,-3.344908852730548,-3.293058005717869,-3.22574422178203,-3.102450392609441,-2.9880545144896975,-2.857770308445123,-2.71427485031245,-2.507027088932111,-2.2872777088002505,-2.1178354020196966,-1.8901694656817123,-1.6650910406852033,0.32852442650985886,0.2868047894367673,0.25448837657027873,0.23112263905640615,0.2156869721287992,0.20663833546066956,0.2021783138419485,0.20046229921473763,0.2006583049418037,0.20117534601002612,0.20155406937240494,0.20161029213929926,0.20135032422549515,0.2008970300610327,0.2002990560801344,0.20007654708544756,0.2004789980119287,0.20152629433242253,0.202638137727939,0.20440279939334433,0.20594285588173072,0.20788643794938239,0.21074275998291137,0.21758866646340105,0.23098973795504527,0.24781572782331746,0.28241335494807474,0.33329955468909167
7,5.5,10.0,0.7879772316753305,0.4002131656697881,-0.0012294737059660521,-0.4133744361880314,-0.8331024259312136,-1.257197195385158,-1.6823940144047012,-2.2454025146365346,-2.660570767828478,-3.066235742689219,-3.459477784645544,-3.837572635399192,-4.198025734113776,-4.538601886544157,-4.958451403536251,-5.335730994111309,-5.667627239721339,-5.952312508637632,-6.134284961353468,-6.334793207381893,-6.453934722566006,-6.5468847870462845,-6.614395751905693,-6.6664671737299255,-6.677585314348682,-6.660813773168878,-6.607509028541858,-6.521864025899319,0.31848448980709887,0.278100666994403,0.2472408686610732,0.22527772510346866,0.211016535632551,0.20281530176600102,0.19888973340974545,0.19758508766644112,0.19803908556009245,0.1988947611864082,0.19975388656167758,0.20044294051989128,0.20093204965174208,0.20127239170939126,0.20163782074451675,0.20205992551099666,0.20261829798579184,0.203286576122979,0.2038273943666509,0.2046623676934691,0.20560236366124146,0.20726934636087763,0.21041034541839393,0.21886639369916236,0.23544949462840653,0.2554862114049418,0.29476004762053487,0.3498662237741984
8,5.5,20.0,1.0935599353036318,0.7814131058076178,0.45996696985380636,0.13147657592127482,-0.20175563301855148,-0.537414512481443,-0.8732069116885534,-1.3172806179251075,-1.6448318866553804,-1.9654368182511865,-2.2772460294250183,-2.5785745895323573,-2.867916722370025,-3.1439556393075145,-3.4894010332630927,-3.807097236174225,-4.0955131818094035,-4.353672742416551,-4.5271325790921475,-4.731457132460445,-4.864610676675033,-4.980770052062914,-5.080223690195246,-5.187452315930483,-5.266556643145789,-5.3080519611873935,-5.340474536380518,-5.347740603391532,0.3271251444906501,0.28726256468525224,0.2564787671509542,0.2341882619292292,0.21926710661476706,0.21015759500118295,0.2051449257164489,0.20217600307844327,0.20124051482732033,0.20060758749316726,0.19992546740980607,0.19909894019167876,0.19820577594832792,0.19741745446279052,0.1968643731076465,0.19718831060526715,0.19846343823288637,0.20046549376262698,0.20220982044958702,0.20460808893148302,0.20649146324980433,0.20877662053842863,0.21215195216430438,0.2203570290608369,0.23629027078265033,0.25583283929923345,0.29475940872271816,0.3500347119438621
9,5.0,5.0,0.7490748045112364,0.47233806998721917,0.17360242190213868,-0.14600157356931617,-0.4850638734093002,-0.8418995049055173,-1.214556869921033,-1.7322004830281061,-2.1327994365322915,-2.5409989034680343,-2.953908250195619,-3.3684954295887177,-3.78162266369556,-4.190085842565112,-4.721868989638653,-5.232038067809677,-5.713249980158084,-6.158583828190901,-6.465206874736947,-6.832979809246807,-7.075325008006009,-7.287030697159739,-7.466710321188012,-7.654721880993459,-7.7825279052859635,-7.838637982556566,-7.860997089008314,-7.824956201840575,0.32149585885399795,0.28008602019096995,0.24922810610575186,0.2281381412711386,0.21519627345187756,0.20821403564005658,0.20494917732465975,0.20326681246798478,0.20250021613696473,0.20152596664490022,0.2002268279106212,0.19875671978164294,0.1974135335896639,0.19652579117730296,0.19648290764358356,0.1979129378916226,0.20048618523116726,0.203444195293668,0.20537743219314594,0.20703754383364956,0.207544682683519,0.20780059988598099,0.20868413197986052,0.21348581145231763,0.22708330492713255,0.24631351679138436,0.28712629163247033,0.3464761870087524
10,5.0,10.0,0.8733202826675097,0.5993610911287514,0.30659243890790644,-0.0037143547282282655,-0.3300684847986494,-0.6707688822839931,-1.023915870629245,-1.5105156712032697,-1.8843221076418366,-2.2630273250677204,-2.644084648757806,-3.024862931648612,-3.4026751921171132,-3.7748084938767312,-4.257479191343181,-4.718951710542381,-5.153188079477028,-5.554540631050854,-5.830865235134011,-6.1626983740539005,-6.3819554099705655,-6.574266930848778,-6.738518849050464,-6.912472965587388,-7.033915197734459,-7.090346099661754,-7.11981808428536,-7.098230685877858,0.32730872973342123,0.28344752207152357,0.2502304799150172,0.22721621579581533,0.21307076589117077,0.20570339653292782,0.2027642290942083,0.2022342097389957,0.2025692795662689,0.20268881503805689,0.20233781179033644,0.20157670133799624,0.20065289598766511,0.19988713510642792,0.199611767142048,0.2005328537761905,0.20256699344290968,0.20518916148149072,0.2071030330064811,0.2091009856221117,0.21011459820032194,0.21102533884537109,0.21259808698318847,0.21808057575211479,0.23167321587934786,0.25028065725945287,0.2895440450515251,0.34694057838316306
11,5.0,20.0,1.2604479408054512,1.0133852829774723,0.7472986136861831,0.46329026147424185,0.16267244519804797,-0.15304071142913328,-0.4821446278865444,-0.938504068845664,-1.2912607599678776,-1.6505450753635522,-2.0140180541172885,-2.3792519306623547,-2.7437556490723525,-3.1050011398567565,-3.57721161803234,-4.033176710686512,-4.467132410678658,-4.873614700478831,-5.157390079647357,-5.5039487833794185,-5.737778135368607,-5.947584794314638,-6.132123021627506,-6.337173080786789,-6.493881752360692,-6.579151420294113,-6.649736596717693,-6.671652510735311,0.33315562683699584,0.2905497939592419,0.25822092106868216,0.23547960087545558,0.22087429279469087,0.2123919079987477,0.20790052483649038,0.205041121106047,0.20368031740940779,0.20228607973259038,0.20067692974567278,0.19895665509686566,0.1973924431138845,0.19630654658514876,0.19607013000079707,0.19748637115468282,0.20036939066342768,0.20410648745260618,0.20700328206126445,0.21050831888170507,0.21281745556252069,0.21518024727023924,0.21835302328054004,0.22609490265449647,0.24179200326702166,0.2616141855384264,0.30176573299169107,0.3592027737887652
